CouncilArea,Date,Price
Glen Eira City Council,21/10/2017,5245000.0
Glen Eira City Council,22/05/2016,0.0
Glen Eira City Council,22/08/2016,7695000.0
Glen Eira City Council,23/04/2016,1100000.0
Glen Eira City Council,23/09/2017,3010000.0
Glen Eira City Council,24/02/2018,4060000.0
Glen Eira City Council,24/06/2017,1815000.0
Glen Eira City Council,25/02/2017,2735000.0
Glen Eira City Council,26/08/2017,5195000.0
Glen Eira City Council,27/05/2017,2915000.0
Glen Eira City Council,27/06/2016,2050000.0
Glen Eira City Council,27/11/2016,5970000.0
Glen Eira City Council,28/05/2016,1518000.0
Glen Eira City Council,28/08/2016,4820000.0
Glen Eira City Council,28/10/2017,9468000.0
Glen Eira City Council,29/04/2017,1205000.0
Glen Eira City Council,29/07/2017,1435000.0
Glen Eira City Council,3/03/2018,4951000.0
Glen Eira City Council,3/06/2017,0.0
Glen Eira City Council,3/09/2017,7410000.0
Glen Eira City Council,3/12/2016,1600000.0
Glen Eira City Council,30/09/2017,2400000.0
Glen Eira City Council,4/03/2017,1100000.0
Glen Eira City Council,4/06/2016,3705000.0
Glen Eira City Council,6/01/2018,2995500.0
Glen Eira City Council,6/05/2017,1515000.0
Glen Eira City Council,6/08/2016,2645000.0
Glen Eira City Council,7/05/2016,0.0
Glen Eira City Council,8/04/2017,0.0
Glen Eira City Council,8/07/2017,1250000.0
Glen Eira City Council,8/10/2016,0.0
Glen Eira City Council,9/09/2017,2151000.0
Glen Eira City Council,9/12/2017,7651000.0
Greater Dandenong City Council,1/07/2017,0.0
Greater Dandenong City Council,10/03/2018,920000.0
Greater Dandenong City Council,11/11/2017,0.0
Greater Dandenong City Council,17/02/2018,0.0
Greater Dandenong City Council,17/03/2018,0.0
Greater Dandenong City Council,18/11/2017,723000.0
Greater Dandenong City Council,23/09/2017,917000.0
Greater Dandenong City Council,25/11/2017,0.0
Greater Dandenong City Council,28/10/2017,775000.0
Greater Dandenong City Council,29/07/2017,617000.0
Greater Dandenong City Council,3/03/2018,0.0
Greater Dandenong City Council,8/07/2017,1100000.0
Hobsons Bay City Council,10/02/2018,1015000.0
Hobsons Bay City Council,10/09/2016,2080000.0
Hobsons Bay City Council,11/03/2017,1900000.0
Hobsons Bay City Council,11/11/2017,940000.0
Hobsons Bay City Council,12/08/2017,2200000.0
Hobsons Bay City Council,12/11/2016,1330000.0
Hobsons Bay City Council,13/05/2017,3520000.0
Hobsons Bay City Council,14/05/2016,1620000.0
Hobsons Bay City Council,16/04/2016,915000.0
Hobsons Bay City Council,16/09/2017,0.0
Hobsons Bay City Council,17/03/2018,4554000.0
Hobsons Bay City Council,17/09/2016,4670000.0
Hobsons Bay City Council,19/08/2017,1201000.0
Hobsons Bay City Council,19/11/2016,1440000.0
Hobsons Bay City Council,22/08/2016,880000.0
Hobsons Bay City Council,24/02/2018,2995000.0
Hobsons Bay City Council,24/09/2016,827500.0
Hobsons Bay City Council,25/02/2017,2000000.0
Hobsons Bay City Council,26/07/2016,930000.0
Hobsons Bay City Council,27/06/2016,847500.0
Hobsons Bay City Council,27/11/2016,2440000.0
Hobsons Bay City Council,28/05/2016,0.0
Hobsons Bay City Council,29/04/2017,2700000.0
Hobsons Bay City Council,3/03/2018,1500000.0
Hobsons Bay City Council,3/09/2016,1085000.0
Hobsons Bay City Council,3/09/2017,1630000.0
Hobsons Bay City Council,3/12/2016,1525000.0
Hobsons Bay City Council,4/03/2017,5820000.0
Hobsons Bay City Council,4/06/2016,1780000.0
Hobsons Bay City Council,6/01/2018,4620000.0
Hobsons Bay City Council,6/05/2017,2075000.0
Hobsons Bay City Council,6/08/2016,1082000.0
Hobsons Bay City Council,7/10/2017,1378000.0
Hobsons Bay City Council,8/04/2017,0.0
Hobsons Bay City Council,8/07/2017,2530000.0
Hobsons Bay City Council,8/10/2016,1815000.0
Hobsons Bay City Council,9/09/2017,980000.0
Hobsons Bay City Council,9/12/2017,2530000.0
Hume City Council,1/07/2017,650000.0
Hume City Council,11/11/2017,1427500.0
Hume City Council,12/08/2017,1515000.0
Hume City Council,14/10/2017,3104750.0
Hume City Council,15/07/2017,515000.0
Hume City Council,16/09/2017,940000.0
Hume City Council,17/02/2018,1910000.0
Hume City Council,17/03/2018,578000.0
Hume City Council,17/09/2016,751000.0
Hume City Council,19/08/2017,650000.0
Hume City Council,21/10/2017,2010000.0
Hume City Council,22/07/2017,1000000.0
Hume City Council,23/09/2017,2216000.0
Hume City Council,24/06/2017,680000.0
Hume City Council,25/11/2017,1421000.0
Hume City Council,26/08/2017,555000.0
Hume City Council,28/10/2017,4341000.0
Hume City Council,29/04/2017,543500.0
Hume City Council,29/07/2017,821000.0
Hume City Council,3/02/2018,786500.0
Hume City Council,3/03/2018,818000.0
Hume City Council,3/06/2017,2000000.0
Hume City Council,3/09/2017,560000.0
Hume City Council,4/11/2017,735000.0
Hume City Council,6/01/2018,2909000.0
Hume City Council,7/10/2017,1837000.0
Hume City Council,8/07/2017,800000.0
Hume City Council,9/09/2017,888000.0
Hume City Council,9/12/2017,2105000.0
Kingston City Council,1/07/2017,800000.0
Kingston City Council,10/02/2018,2331000.0
Kingston City Council,10/03/2018,0.0
Kingston City Council,11/02/2017,1016000.0
Kingston City Council,11/11/2017,2057000.0
Kingston City Council,14/10/2017,3575000.0
Kingston City Council,16/09/2017,4186000.0
Kingston City Council,17/03/2018,2715000.0
Kingston City Council,17/06/2017,0.0
Kingston City Council,17/09/2016,1300000.0
Kingston City Council,18/11/2017,2565000.0
Kingston City Council,19/08/2017,1210000.0
Kingston City Council,21/10/2017,0.0
Kingston City Council,23/09/2017,2100000.0
Kingston City Council,24/02/2018,2360500.0
Kingston City Council,24/06/2017,955000.0
